Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
77101,0,41,9,32,19,0,0
77201,0,40,7,33,20,0,0
77301,0,39,5,34,21,0,0
77401,0,38,4,34,22,0,0
77501,0,41,8,33,19,0,0
77601,0,39,4,35,21,0,1
77701,0,40,3,37,20,0,0
77801,0,37,3,34,23,0,0
77901,0,41,2,39,19,0,0
78001,0,43,3,40,17,0,0
78101,0,44,2,42,16,0,0
78201,0,43,1,42,17,0,1
78301,0,43,1,42,17,0,0
78401,0,37,1,36,23,0,0
78501,0,40,1,39,20,0,0
78601,0,38,1,37,22,0,0
78701,0,47,1,46,13,0,0
78801,0,47,1,46,13,0,0
78901,0,44,1,43,16,0,0
79001,0,47,2,45,13,1,0
79101,0,40,2,38,20,0,0
79201,0,38,2,36,22,0,0
79301,0,41,4,37,19,0,0
79401,0,45,4,41,15,0,0
79501,0,40,5,35,20,0,0
79601,0,39,3,36,21,0,0
